INDEX,WKSPN,ENGINE,ACTION,DESCRIPTION,MATERIALSBaht
1,GECLDLM91E,MS9001E,Additional,Replace center swirler,"52,784.36"
2,GECL01M61B,MS6001B,Additional,Replace swirler with L605 material,"33,368.40"
3,GETP00M61B,MS6001B,Additional,Replace Inner Floating seals-Cloth seal type,"21,390.00"
4,GETP00M61B,MS6001B,Additional,Replace Outer Floating seals-Cloth seal type,"21,390.00"
77,MWBL01MW7D,MW701D,Option,Perform material life assessment as required iaw EthosEnergy procedures,"154,008.00"
6,GETP00M51P,MS5001P,Additional,Replace Std. Floating Seals-inner,"8,302.06"
7,GETP00M51P,MS5001P,Additional,Replace Picture Frame -TBD,0
8,GETP00M51P,MS5001P,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"114,376.61"
9,GETP00M51P,MS5001P,Option/Coating,Apply Chrome Carbide coating to Inlet End,"8,521.78"
10,GEBH00M61B,MS6001B,Additional,Replace L605 Wear Strips to Forks,"2,208.13"
11,GEBH00M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Forks (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","8,879.07"
12,GEBH00M61B,MS6001B,Option,CLIP upgrade with L605 Wear Covers,"4,415.92"
13,GECT00M61B,MS6001B,Additional,Replace Ends Tube,275.85
14,GECT00M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Tube Ends (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,073.71"
15,GEFS00M61B,MS6001B,Additional,Replace L605 wear strips / covers to Liner Stop,"1,656.10"
16,GEFS00M61B,MS6001B,Additional,Replace stopper,"2,208.13"
17,GEFS00M61B,MS6001B,Additional,Replace Stopper Pin,220.74
18,GEFS00M61B,MS6001B,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,707.88"
19,GESB03M61B,MS6001B,Additional,Replace Seal Fins,"18,977.89"
20,GESB03M61B,MS6001B,Option,Install vacuum brazed honeycomb to seal areas,"38,237.11"
21,GESB03M61B,MS6001B,Option/Coating,Apply Corrosion Resistant coating to Seal Face surface,"39,273.41"
22,GESB03M61B,MS6001B,Option,Weld Plug Pin of old Dowel holes,"3,311.86"
23,GEBH00M7EA,MS7001EA,Additional,Replace L605 Wear Strips to Forks,"2,488.43"
24,GEBH00M7EA,MS7001EA,Option/Coating,"Apply Chrome Carbide coating to Forks (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","13,052.35"
25,GEBH00M7EA,MS7001EA,Option,CLIP upgrade with L605 Wear Covers,"4,327.62"
26,GECL00M7EA,MS7001EA,Additional,Replace Hula Skirt,"8,576.88"
27,GECL00M7EA,MS7001EA,Additional,Replace Collar Air Flower,"1,435.35"
28,GECL00M7EA,MS7001EA,Additional,Replace Liner Stop (material FSX414),"1,882.32"
29,GECL00M7EA,MS7001EA,Additional,Replace End Ring,"8,831.85"
30,GECL00M7EA,MS7001EA,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"115,779.79"
31,GECL00M7EA,MS7001EA,Option/Coating,Apply Class C TBC to internal surfaces (based on customer requirements or as received condition),"193,911.13"
32,GECLDLM91E,MS9001E,Option,Replace the complete lower section of DLN type combustion liner with Hastelloy-X base material,"655,132.24"
33,ABBBL03A9D,9D,Option,Destructive Testing life time analysis,"154,008.00"
34,ABBBL03A9D,9D,Option,Perform Hipping,"251,393.08"
35,ABBBL03A9D,9D,Option,X-ray inspection,552
36,ABBBL01GT10,GT10,Option,Destructive Testing life time analysis,"155,664.10"
37,ABBBL01GT10,GT10,Option,Perform Hipping,"183,954.00"
38,ABBBL01GT10,GT10,Option,X-ray inspection,552
39,ABBBL02GT10,GT10,Option,Cooling Cap replacement,"5,133.60"
40,ABBBL02GT10,GT10,Option,Destructive Testing life time analysis,"155,664.10"
41,ABBBL02GT10,GT10,Option,Perform Hipping,"219,178.37"
42,ABBBL02GT10,GT10,Option,X-ray inspection,552
43,ABBBL03GT10,GT10,Option,Destructive Testing life time analysis,"155,664.10"
44,ABBBL03GT10,GT10,Option,Perform Hipping,"228,638.57"
45,ABBBL03GT10,GT10,Option,X-ray inspection,552
46,GEBH00M501,MS5001,Additional,Apply L605 shields to Forks,"2,208.00"
47,GEBH00M501,MS5001,Option/Coating,"Apply Chrome Carbide coating to Forks (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","8,879.13"
48,GECL00M501,MS5001,Additional,Replace Hula Skirt,"7,176.09"
49,GECL00M501,MS5001,Additional,Replace Cross Fire Collars,883.32
50,GECL00M501,MS5001,Additional,Replace Liner Stop,"3,775.59"
51,GECL00M501,MS5001,Additional,Replace End Ring,"3,863.89"
52,GECL00M501,MS5001,Option/Coating,Apply Class B TBC to internal surfaces (based on customer requirements or as received condition),"94,258.37"
53,GECL00M501,MS5001,Option/Coating,"Apply Chrome Carbide coating to Fuel Nozzle Bore (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","4,439.54"
54,GECL00M501,MS5001,Option/Coating,"Apply Chrome Carbide coating to Crossfire Collar (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","3,171.20"
55,GECL00M501,MS5001,Option/Coating,"Apply Chrome Carbide coating to Hula Skirt (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,707.88"
56,GECL00M501,MS5001,Option/Coating,"Apply Chrome Carbide coating to Liner Stop (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","4,439.54"
57,GECT00M501,MS5001,Additional,Replace Ends Tube,275.85
58,GECT00M501,MS5001,Option/Coating,"Apply Chrome Carbide coating to Tube Ends (based on customer scope, incoming condition replacement needed or perform to upgrade to extendor)","5,073.71"
60,GEFN00M501,MS5001,Additional,Replace Swirler Tip,"30,311.51"
61,GEFN00M501,MS5001,Additional,Replace Transition Piece,"34,610.39"
62,GENZ02M501,MS5001,Additional,Replace Aft Discourager Seal,"2,870.37"
